Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10nF,
"C10, C11",0603,2,0.1 uF,
C12,0603,1,100nF,
C2,0603,1,22nF,
C3,0603,1,1uF,
C4,0603,1,2.2uF,
C5,0603,1,0.1u,
C6,0603,1,10u,
C7,0603,1,4.7n,
"C8, C9",0603,2,1 uF,
J1,BATT_CONN,1,Conn_01x02_Pin,
J2,JST_B3B-PH-K-S,1,B3B-PH-K-S,
"R1, R12, R13, R3",0603,4,10k,
R17,0603,1,100k,
R2,0603,1,510,
R4,0603,1,3.3k,
R5,POT_PTN16-A20120K1B1,1,20k,
R6,POT_PTN16-A20120K1B1,1,50k,
"TP4, TP5",TestPoint_THTPad_D4.0mm_Drill2.0mm,2,TestPoint,
U1,SOP65P640X120-16N,1,ADS1220xPW,
U2,SOP65P640X120-14N,1,Opamp_Quad,
U3,SOIC8-N_MC_MCH,1,MCP4141T-103E/SN,
U4,SOT-23-5,1,TLV70033_SOT23-5,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,AD8226ARZ,
U6,C_ARRAY_EXB24V_PAN,1,EXB24V332JX,
U7,ESP32C3,1,113991054,
U8,C_ARRAY_EXB34V_PAN,1,EXB34V105JV,
