Designator,Mid X,Mid Y,Rotation,Layer
C1,173.29,-103.7225,90.0,top
C10,162.4375,-82.1,180.0,top
C11,174.015,-127.26,90.0,top
C12,165.9,-82.1,0.0,top
C2,180.315,-110.8725,270.0,top
C3,178.465,-112.66,90.0,top
C4,176.415,-112.685,90.0,top
C5,175.63,-117.2125,270.0,top
C6,161.4,-77.0,0.0,top
C7,179.04,-123.66,0.0,top
C8,164.845,-76.925,0.0,top
C9,161.495,-79.625,90.0,top
J1,164.685,-72.875,0.0,top
J2,178.54,-134.035,0.0,top
R1,173.29,-107.3225,90.0,top
R12,176.715,-98.7725,270.0,top
R13,174.965,-98.7725,90.0,top
R17,181.925,-128.625,270.0,top
R2,179.0525,-120.685,0.0,bottom
R3,177.54,-109.935,180.0,top
R4,178.64,-104.7975,270.0,bottom
R5,165.115,-121.21,270.0,top
R6,164.89,-102.91,270.0,top
U1,180.565,-95.09,270.0,top
U2,177.34,-104.605,90.0,top
U3,184.1022,-102.345,180.0,top
U4,164.595,-79.5375,0.0,top
U5,179.065,-118.81,0.0,top
U6,178.9931,-129.475,90.0,top
U7,178.945,-78.665,0.0,top
U8,179.0145,-126.271,270.0,top
